shape_id,mse,mae,rmse,iou,dice,sign_accuracy,surface_mae,surface_sign_accuracy,mesh_vertices,mesh_faces,mesh_components,largest_component_face_fraction
monitor_0053,7.350436499109492e-05,0.004591432400047779,0.008573468774557114,0.8894746409743683,0.9415047142582259,0.9945023148148148,0.007403751835227013,0.9341848885040052,4606,9212,3,0.7216673903603995
monitor_0054,8.868524309946224e-05,0.005315565038472414,0.009417284280061722,0.9347404172731684,0.966269592476489,0.9878381799768519,0.008257183246314526,0.9023608277470125,5983,11584,9,0.9901588397790055
monitor_0055,5.2018694987054914e-05,0.003696697996929288,0.007212398573756218,0.8269952337491127,0.9053063943161634,0.9845739293981481,0.007521918509155512,0.8646568821896073,4824,9458,3,0.9991541552125185
monitor_0056,3.370603735675104e-05,0.0032171900384128094,0.005805690307170153,0.7956294244382887,0.8861844360644497,0.9879918981481481,0.007420587353408337,0.8646608873023968,4352,8596,2,0.9974406700791065
monitor_0057,4.375408752821386e-05,0.003328857012093067,0.0066146873869001865,0.7324377273999441,0.8455573505654281,0.9913556134259259,0.00849804375320673,0.8622279867416054,3022,6044,1,1.0
monitor_0058,6.909688090672716e-05,0.0041806576773524284,0.008312453515827656,0.9015586546349467,0.9482312338222606,0.9945746527777778,0.008686299435794353,0.9267399267399268,4284,8476,3,0.9964605946201038
monitor_0059,0.0001523794053355232,0.006754102185368538,0.012344205752015114,0.08481262327416174,0.15636363636363637,0.9958043981481481,0.010707078501582146,0.9450905167246133,540,988,23,0.2834008097165992
monitor_0060,0.0001516496849944815,0.007350016385316849,0.012314612977206707,0.9674046381213856,0.9834323040380047,0.9798177083333334,0.00770757719874382,0.9048654641593109,12699,24860,9,0.9943684633950121
monitor_0061,7.234377699205652e-05,0.004441155586391687,0.008505514822900295,0.8978663489656666,0.9461850139816241,0.9914731626157407,0.0068725585006177425,0.9224940284984763,6153,12230,6,0.8840556009811937
monitor_0062,4.8936261009657755e-05,0.003913844469934702,0.00699544558301568,0.8414710159983378,0.913911768024371,0.9931007667824074,0.007991962134838104,0.9248640632723678,4730,9424,1,1.0002122241086588
monitor_0063,5.4326494137058035e-05,0.003618585178628564,0.007370650768280029,0.8750561797752809,0.9333652924256951,0.9924587673611112,0.008187955245375633,0.8951470958008549,4057,7944,3,0.9823766364551864
monitor_0064,6.938039587112144e-05,0.004790586419403553,0.008329489268362522,0.90216271884655,0.9485652409312398,0.9914098668981481,0.006704568862915039,0.9073441919438213,5285,10242,9,0.8627221245850419
monitor_0065,4.1608935134718195e-05,0.003553890623152256,0.006450498942285776,0.845185390149419,0.9160980730299167,0.9898817274305556,0.0064088148064911366,0.9042607802874744,5392,10784,1,1.0
monitor_0066,5.421158130047843e-05,0.0035900159273296595,0.007362851407378912,0.8217033695940568,0.9021264200407807,0.9878472222222222,0.006163749378174543,0.9047066622472655,6300,12454,1,1.0
monitor_0067,4.068010821356438e-05,0.0031284871511161327,0.00637809606269002,0.7435667265110713,0.8529260339797494,0.9922507957175926,0.006851092912256718,0.8926603206412825,4084,8074,2,0.9943027000247708
monitor_0068,7.98631735960953e-05,0.00480278767645359,0.008936619386076927,0.8744207075844919,0.9330036784658988,0.9899540653935185,0.00819120742380619,0.9029694323144105,5726,11402,5,0.9619365023680057
monitor_0069,5.421235255198553e-05,0.0035900380462408066,0.007362904027104378,0.8217033695940568,0.9021264200407807,0.9878472222222222,0.006162700708955526,0.9047303454560517,6300,12454,1,1.0
monitor_0070,0.0001340664312010631,0.005640111397951841,0.011578706093132496,0.8093919008046432,0.8946562659473646,0.9869339554398148,0.00832938402891159,0.8736056214317084,5885,11544,2,0.9887387387387387
monitor_0071,4.261271533323452e-05,0.003483349457383156,0.006527841556817293,0.8012279355333844,0.8896463570515551,0.9953161168981481,0.007708908524364233,0.9299337210875153,3260,6532,3,0.9975505205143906
monitor_0072,8.38402338558808e-05,0.004863299895077944,0.009156431071460247,0.9199577931866144,0.9583104341681715,0.9951985677083334,0.007291695568710566,0.9409466398749721,4020,7924,10,0.9697122665320546
monitor_0073,9.412946383235976e-05,0.005049969535320997,0.009702034294605255,0.794431433775696,0.8854408352668214,0.9857132523148148,0.0082755908370018,0.8682539682539683,6561,12802,14,0.9421965317919075
monitor_0074,9.472497185925022e-05,0.00506309000775218,0.009732675738632679,0.8157276995305164,0.898513251454428,0.9872233072916666,0.009009717032313347,0.8902640914465905,6857,13590,2,0.5864606328182487
monitor_0075,8.099199476419017e-05,0.004988605156540871,0.008999555371701717,0.9248475478828481,0.9609566730623355,0.9920880353009259,0.0067599862813949585,0.9393414211438474,7503,14764,1,1.0
monitor_0076,4.8934249207377434e-05,0.0037198932841420174,0.0069953021593391895,0.7907313540912382,0.8831378892033966,0.9921603732638888,0.006458587944507599,0.9165945165945166,4988,9992,6,0.8538831064851882
monitor_0077,6.028138523106463e-05,0.0038686846382915974,0.007764108944684267,0.7071762441572724,0.8284747946529232,0.9903700086805556,0.009991058148443699,0.8773182813039972,3841,7674,8,0.9384936148032317
