shape_id,method,mask_type,lam,k,iou,sdf_error,solve_time_s
monitor_0453,pca_completion,halfspace,0.0,64,0.09340659340659341,0.02641576,0.0994053750182502
monitor_0454,pca_completion,halfspace,0.0,64,0.2687556492919554,0.0774751,0.059970000002067536
monitor_0455,pca_completion,halfspace,0.0,64,0.15551537070524413,0.089893654,0.04147604200989008
monitor_0456,pca_completion,halfspace,0.0,64,0.5925733382844411,0.082057424,0.08167250000406057
monitor_0457,pca_completion,halfspace,0.0,64,0.10374261326329613,0.10672891,0.0611752079857979
monitor_0458,pca_completion,halfspace,0.0,64,0.5838287752675386,0.117887326,0.061291374993743375
monitor_0459,pca_completion,halfspace,0.0,64,0.37915936952714535,0.040901963,0.062674041982973
monitor_0460,pca_completion,halfspace,0.0,64,0.06417112299465241,0.028787017,0.05715137498918921
monitor_0461,pca_completion,halfspace,0.0,64,0.14285714285714285,0.040775254,0.07987816701643169
monitor_0462,pca_completion,halfspace,0.0,64,0.3068181818181818,0.081988506,0.029742333019385114
monitor_0463,pca_completion,halfspace,0.0,64,0.2615908124202467,0.10016972,0.04091591699398123
monitor_0464,pca_completion,halfspace,0.0,64,0.10759219088937093,0.0491153,0.06126975000370294
monitor_0465,pca_completion,halfspace,0.0,64,0.6269540283045046,0.12398916,0.09049137498368509
monitor_0466,pca_completion,halfspace,0.0,64,0.04589371980676329,0.22796527,0.048431667004479095
monitor_0467,pca_completion,halfspace,0.0,64,0.21071428571428572,0.06423563,0.029500499978894368
monitor_0468,pca_completion,halfspace,0.0,64,0.5362176977290525,0.08415687,0.029392333992291242
monitor_0469,pca_completion,halfspace,0.0,64,0.20163294284700037,0.15953423,0.036440541996853426
monitor_0470,pca_completion,halfspace,0.0,64,0.15833701901813357,0.06690476,0.07901124999625608
monitor_0471,pca_completion,halfspace,0.0,64,0.3635929288103201,0.07541118,0.04917441599536687
monitor_0472,pca_completion,halfspace,0.0,64,0.4945142311973287,0.15372643,0.05168362500262447
monitor_0473,pca_completion,halfspace,0.0,64,0.08353510895883777,0.048854724,0.08735641598468646
monitor_0474,pca_completion,halfspace,0.0,64,0.40690250215703194,0.09360588,0.040932417003205046
monitor_0475,pca_completion,halfspace,0.0,64,0.42,0.035471264,0.08471879200078547
monitor_0476,pca_completion,halfspace,0.0,64,0.3453573814295257,0.13853385,0.03128158298204653
monitor_0477,pca_completion,halfspace,0.0,64,0.1111111111111111,0.040355787,0.08727787501993589
monitor_0478,pca_completion,halfspace,0.0,64,0.4677086911714188,0.1123037,0.04201950001879595
monitor_0479,pca_completion,halfspace,0.0,64,0.599504132231405,0.05023039,0.0411877500009723
monitor_0480,pca_completion,halfspace,0.0,64,0.0011668611435239206,0.052832246,0.047143417003098875
monitor_0396,pca_completion,halfspace,1.0,64,0.8145025295109612,0.026168197,0.00816124997800216
monitor_0397,pca_completion,halfspace,1.0,64,0.5963345864661654,0.06632446,0.011302458005957305
monitor_0398,pca_completion,halfspace,1.0,64,0.813563115487914,0.030496709,0.008102708001388237
