shape_id,method,mask_type,k_gmm,lam,k_pca,iou,sdf_error,solve_time_s
monitor_0450,gmm_completion,halfspace,1,1.0,64,0.5841816758026624,0.03401331,0.023548083001514897
monitor_0451,gmm_completion,halfspace,1,1.0,64,0.5907423580786026,0.021154331,0.01352104201214388
monitor_0452,gmm_completion,halfspace,1,1.0,64,0.7659343794579173,0.073620215,0.02291675002197735
monitor_0453,gmm_completion,halfspace,1,1.0,64,0.036734693877551024,0.032221213,0.02846208299160935
monitor_0454,gmm_completion,halfspace,1,1.0,64,0.22948438634713145,0.046214562,0.021471584012033418
monitor_0455,gmm_completion,halfspace,1,1.0,64,0.0,0.07620665,0.018481124978279695
monitor_0456,gmm_completion,halfspace,1,1.0,64,0.6141505553270259,0.056717336,0.02442466700449586
monitor_0457,gmm_completion,halfspace,1,1.0,64,0.12703190848886214,0.06948549,0.021787832985864952
monitor_0458,gmm_completion,halfspace,1,1.0,64,0.4350021958717611,0.06315931,0.021748917002696544
monitor_0459,gmm_completion,halfspace,1,1.0,64,0.24053581828771112,0.060488213,0.02267679199576378
monitor_0460,gmm_completion,halfspace,1,1.0,64,0.0,0.031694077,0.02133583399700001
monitor_0461,gmm_completion,halfspace,1,1.0,64,0.0,0.05199964,0.024878541997168213
monitor_0462,gmm_completion,halfspace,1,1.0,64,0.3193843193843194,0.043754302,0.014869750011712313
monitor_0463,gmm_completion,halfspace,1,1.0,64,0.5551354757403907,0.027601006,0.017744500015396625
monitor_0464,gmm_completion,halfspace,1,1.0,64,0.0,0.038925916,0.021588000003248453
monitor_0465,gmm_completion,halfspace,1,1.0,64,0.6994722710860105,0.044349536,0.029187999985879287
monitor_0466,gmm_completion,halfspace,1,1.0,64,0.0853271836264053,0.16642866,0.019890166993718594
monitor_0467,gmm_completion,halfspace,1,1.0,64,0.0,0.06106606,0.014227624982595444
monitor_0468,gmm_completion,halfspace,1,1.0,64,0.028578013367135283,0.07346186,0.014417541009606794
monitor_0469,gmm_completion,halfspace,1,1.0,64,0.27661633759194737,0.054568212,0.016661041998304427
monitor_0470,gmm_completion,halfspace,1,1.0,64,0.20101137800252844,0.06381097,0.024798458005534485
monitor_0471,gmm_completion,halfspace,1,1.0,64,0.6200345423143351,0.03747338,0.01990954199573025
monitor_0472,gmm_completion,halfspace,1,1.0,64,0.7478196128483301,0.042435236,0.020662791997892782
monitor_0473,gmm_completion,halfspace,1,1.0,64,0.005934718100890208,0.03917924,0.028367958002490923
monitor_0474,gmm_completion,halfspace,1,1.0,64,0.4757648676521141,0.03035993,0.018244082981254905
monitor_0475,gmm_completion,halfspace,1,1.0,64,0.2105820105820106,0.024130475,0.027446874999441206
monitor_0476,gmm_completion,halfspace,1,1.0,64,0.4437869822485207,0.08794781,0.014697292004711926
monitor_0477,gmm_completion,halfspace,1,1.0,64,0.0,0.04054385,0.027852458006236702
monitor_0478,gmm_completion,halfspace,1,1.0,64,0.5863104172921044,0.07274202,0.01927537500159815
monitor_0479,gmm_completion,halfspace,1,1.0,64,0.5131322957198443,0.027128216,0.018410958000458777
monitor_0480,gmm_completion,halfspace,1,1.0,64,0.0,0.07607842,0.020036333007737994
monitor_0396,gmm_completion,block,1,1.0,64,0.9030470914127424,0.014151173,0.03408066602423787
monitor_0397,gmm_completion,block,1,1.0,64,0.7943078913324709,0.0113217225,0.03424295800505206
monitor_0398,gmm_completion,block,1,1.0,64,0.8288707799767171,0.0100796055,0.03292766597587615
monitor_0399,gmm_completion,block,1,1.0,64,1.0,0.012294883,0.032691666012397036
monitor_0400,gmm_completion,block,1,1.0,64,0.7209944751381215,0.0150474645,0.033633833983913064
monitor_0401,gmm_completion,block,1,1.0,64,0.7725245316681534,0.0065135914,0.033110582997323945
monitor_0402,gmm_completion,block,1,1.0,64,0.4562607204116638,0.022838758,0.033495084004243836
monitor_0403,gmm_completion,block,1,1.0,64,0.7932674716428832,0.01748679,0.03274299998884089
monitor_0404,gmm_completion,block,1,1.0,64,0.3134057971014493,0.012837767,0.03324454199173488
monitor_0405,gmm_completion,block,1,1.0,64,0.7847730600292826,0.03418407,0.03429125002003275
monitor_0406,gmm_completion,block,1,1.0,64,1.0,0.015603201,0.0330585420015268
monitor_0407,gmm_completion,block,1,1.0,64,1.0,0.003998467,0.03525195800466463
monitor_0408,gmm_completion,block,1,1.0,64,0.8490338164251208,0.013851942,0.03302791700116359
monitor_0409,gmm_completion,block,1,1.0,64,0.5275482093663911,0.018921275,0.03253916700487025
monitor_0410,gmm_completion,block,1,1.0,64,1.0,0.00853476,0.03515620797406882
monitor_0411,gmm_completion,block,1,1.0,64,0.8288939051918736,0.014330768,0.03322325000772253
monitor_0412,gmm_completion,block,1,1.0,64,0.08536585365853659,0.0422569,0.03428941700258292
monitor_0413,gmm_completion,block,1,1.0,64,0.508833922261484,0.017899804,0.03326337502221577
monitor_0414,gmm_completion,block,1,1.0,64,0.93234100135318,0.010300173,0.03241924999747425
monitor_0415,gmm_completion,block,1,1.0,64,0.39386503067484663,0.017701585,0.03278516701539047
monitor_0416,gmm_completion,block,1,1.0,64,0.13860716700473294,0.019885309,0.03223429201170802
monitor_0417,gmm_completion,block,1,1.0,64,0.3389830508474576,0.01189806,0.034860167012084275
monitor_0418,gmm_completion,block,1,1.0,64,0.7194805194805195,0.015672626,0.033218458003830165
monitor_0419,gmm_completion,block,1,1.0,64,0.7461139896373057,0.007212493,0.034546292008599266
monitor_0420,gmm_completion,block,1,1.0,64,0.6071428571428571,0.009111661,0.03371166699798778
monitor_0421,gmm_completion,block,1,1.0,64,0.6263736263736264,0.024561543,0.034163250005804
monitor_0422,gmm_completion,block,1,1.0,64,0.6210526315789474,0.047323663,0.03262229199754074
monitor_0423,gmm_completion,block,1,1.0,64,1.0,0.019038526,0.03404358300031163
monitor_0424,gmm_completion,block,1,1.0,64,0.8590243902439024,0.02337835,0.034602540981722996
monitor_0425,gmm_completion,block,1,1.0,64,0.8350810295519543,0.00660671,0.03230074999737553
monitor_0426,gmm_completion,block,1,1.0,64,0.0,0.0055833077,0.03475937500479631
monitor_0427,gmm_completion,block,1,1.0,64,0.1,0.013910817,0.03357149998191744
monitor_0428,gmm_completion,block,1,1.0,64,0.21380090497737556,0.02153003,0.03223924999474548
