shape_id,method,k,iou,sdf_error
monitor_0480,pca_reconstruction,16,0.0009041591320072332,0.020423451
monitor_0396,pca_reconstruction,32,0.8186378035902852,0.008713417
monitor_0397,pca_reconstruction,32,0.7695584817970565,0.009291521
monitor_0398,pca_reconstruction,32,0.8192272309107635,0.008843341
monitor_0399,pca_reconstruction,32,0.5674628792769528,0.010524128
monitor_0400,pca_reconstruction,32,0.6408327501749476,0.013361035
monitor_0401,pca_reconstruction,32,0.5982581509602501,0.011868567
monitor_0402,pca_reconstruction,32,0.5570896340127109,0.0172098
monitor_0403,pca_reconstruction,32,0.6209949409780776,0.014444335
monitor_0404,pca_reconstruction,32,0.3011590003621876,0.021016799
monitor_0405,pca_reconstruction,32,0.8750252076191175,0.02996962
monitor_0406,pca_reconstruction,32,0.6636363636363637,0.01083497
monitor_0407,pca_reconstruction,32,0.7017148579296533,0.013692896
monitor_0408,pca_reconstruction,32,0.6765888978278359,0.018510813
monitor_0409,pca_reconstruction,32,0.753552473891457,0.015000765
monitor_0410,pca_reconstruction,32,0.7086070118570332,0.010314544
monitor_0411,pca_reconstruction,32,0.7272396874432128,0.0106781665
monitor_0412,pca_reconstruction,32,0.39169068203650337,0.02666957
monitor_0413,pca_reconstruction,32,0.592756183745583,0.014886106
monitor_0414,pca_reconstruction,32,0.7758205080660115,0.010031742
monitor_0415,pca_reconstruction,32,0.36777541873083275,0.017608233
monitor_0416,pca_reconstruction,32,0.3275780510879849,0.022986818
monitor_0417,pca_reconstruction,32,0.707561494078348,0.009357097
monitor_0418,pca_reconstruction,32,0.6006123016977456,0.012054043
monitor_0419,pca_reconstruction,32,0.8042433397418292,0.010870169
monitor_0420,pca_reconstruction,32,0.45946547884187083,0.013345845
monitor_0421,pca_reconstruction,32,0.7389096185737977,0.017972235
monitor_0422,pca_reconstruction,32,0.59979633401222,0.02626054
monitor_0423,pca_reconstruction,32,0.7864473991135993,0.012538146
monitor_0424,pca_reconstruction,32,0.6947148817802503,0.017872809
monitor_0425,pca_reconstruction,32,0.6715305313243457,0.012478625
monitor_0426,pca_reconstruction,32,0.7954411243651824,0.009746059
monitor_0427,pca_reconstruction,32,0.23194303153611392,0.0112813795
monitor_0428,pca_reconstruction,32,0.16856010568031704,0.02721217
monitor_0429,pca_reconstruction,32,0.6112340425531915,0.010890027
monitor_0430,pca_reconstruction,32,0.27260981912144705,0.02631649
monitor_0431,pca_reconstruction,32,0.29931972789115646,0.010022883
monitor_0432,pca_reconstruction,32,0.5908895110919664,0.022752307
monitor_0433,pca_reconstruction,32,0.3625569680978652,0.026962325
monitor_0434,pca_reconstruction,32,0.8230350050798929,0.013386519
monitor_0435,pca_reconstruction,32,0.6263657531792943,0.010198856
monitor_0436,pca_reconstruction,32,0.5164119268353796,0.015753021
monitor_0437,pca_reconstruction,32,0.8123197515344228,0.018555542
monitor_0438,pca_reconstruction,32,0.7110303830911493,0.008380749
monitor_0439,pca_reconstruction,32,0.18251533742331288,0.010731525
monitor_0440,pca_reconstruction,32,0.8673557278208441,0.017779311
monitor_0441,pca_reconstruction,32,0.9138923654568211,0.02443746
monitor_0442,pca_reconstruction,32,0.31897831897831896,0.016154867
monitor_0443,pca_reconstruction,32,0.7502401536983669,0.015915742
monitor_0444,pca_reconstruction,32,0.8010833584110744,0.010171164
monitor_0445,pca_reconstruction,32,0.517353579175705,0.010574687
monitor_0446,pca_reconstruction,32,0.6354884715949608,0.018669238
monitor_0447,pca_reconstruction,32,0.7164308403118683,0.011234374
monitor_0448,pca_reconstruction,32,0.6433287482806053,0.01329548
monitor_0449,pca_reconstruction,32,0.5986503856041131,0.032746274
monitor_0450,pca_reconstruction,32,0.705564451561249,0.00745336
monitor_0451,pca_reconstruction,32,0.7880135783682547,0.0115013635
monitor_0452,pca_reconstruction,32,0.8633550088266184,0.029163742
monitor_0453,pca_reconstruction,32,0.42173002095181084,0.008550547
monitor_0454,pca_reconstruction,32,0.5209941339919728,0.015159062
monitor_0455,pca_reconstruction,32,0.0,0.027597431
monitor_0456,pca_reconstruction,32,0.8624740843123704,0.033474848
